,1,2,3,4,5,6
1,0,1,1,0,0,1
2,0,0,1,0,1,1
3,0,1,1,0,0,0
4,0,1,1,0,0,0
5,0,0,1,0,0,1
6,0,0,0,0,0,1
7,1,0,1,0,1,1
8,0,0,1,0,0,0
9,0,0,1,0,1,1
10,1,1,1,1,1,0
11,0,1,1,0,1,1
12,0,1,1,0,1,1
13,0,1,0,0,1,1
14,0,1,1,0,0,1
15,0,0,1,0,1,1
16,0,1,1,0,0,0
17,0,1,1,0,0,1
18,0,0,0,0,1,1
19,0,0,1,1,1,1
20,0,1,1,0,1,0
21,0,1,1,0,0,1
22,0,1,1,0,1,0
23,0,0,1,0,0,1
24,0,1,1,0,1,1
25,0,1,1,0,0,1
26,0,1,0,0,0,0
27,0,0,1,0,1,0
28,0,1,1,0,0,1
29,0,0,1,0,0,0
30,0,1,0,0,0,0
31,0,1,1,1,1,1
32,0,0,1,1,0,1
33,1,1,1,0,0,0
34,0,0,1,0,0,0
35,1,1,1,0,1,1
36,0,0,1,0,0,0
37,0,0,1,0,1,1
38,0,1,1,1,1,1
39,1,0,1,0,1,0
40,0,0,1,0,0,0
41,0,0,0,0,0,1
42,0,0,1,1,0,0
43,0,0,1,0,0,1
44,0,0,1,0,0,1
45,0,0,1,0,0,1
46,1,0,0,0,0,1
47,0,0,1,0,1,0
48,0,0,1,0,0,0
49,0,1,0,0,1,0
50,0,0,1,0,1,1
51,0,0,1,1,1,0
52,0,0,1,0,0,0
53,0,1,1,0,0,0
54,0,0,1,0,0,1
55,0,0,1,1,1,0
56,0,1,0,0,0,1
57,1,0,1,0,0,0
58,0,1,1,0,1,0
59,0,0,1,0,1,0
60,0,0,1,0,0,0
61,0,1,1,0,1,0
62,0,1,1,0,1,0
63,0,0,1,0,1,1
64,0,1,1,1,1,1
65,0,0,1,0,1,0
66,0,0,0,0,1,1
67,0,0,1,1,1,1
68,0,1,1,0,1,0
69,0,0,0,0,1,0
70,0,0,1,1,1,0
71,0,0,1,1,1,0
72,0,0,1,0,1,1
73,1,0,1,0,0,1
74,0,1,1,0,1,0
75,0,0,1,0,0,1
76,0,0,1,0,1,1
77,0,1,1,0,0,0
78,1,0,0,0,1,1
79,0,0,1,0,0,1
80,0,0,1,0,0,0
81,0,0,0,1,0,1
82,0,1,1,1,1,1
83,0,0,1,0,1,1
84,0,0,1,0,0,0
85,0,0,1,0,0,0
86,0,0,1,0,0,0
87,0,0,1,1,0,0
88,0,0,1,0,0,0
89,0,0,1,0,1,0
90,0,1,1,0,0,1
91,0,1,1,0,0,0
92,0,0,1,0,1,0
