,1,2,3,4,5,6
1,1,0,0,1,0,0
2,0,0,1,1,0,1
3,0,1,0,1,0,0
4,1,0,1,1,0,0
5,1,1,1,1,1,0
6,0,1,0,0,0,0
7,1,1,0,1,1,1
8,0,0,1,0,0,0
9,0,1,0,1,0,0
10,0,1,1,1,1,1
11,1,1,1,0,0,0
12,0,1,1,1,0,0
13,1,1,0,0,1,0
14,1,1,1,1,1,0
15,1,0,1,1,0,0
16,1,1,1,1,0,0
17,1,0,0,1,1,0
18,1,1,0,0,1,0
19,1,0,0,0,1,1
20,1,0,0,1,1,0
21,1,0,1,1,1,0
22,1,1,0,0,0,1
23,1,0,1,0,0,0
24,1,1,1,0,1,1
25,1,0,1,1,0,0
26,0,0,0,1,0,0
27,1,1,0,0,1,0
28,0,0,0,0,1,0
29,1,1,0,1,0,0
30,1,0,1,1,0,0
31,1,0,0,1,1,0
32,1,0,1,1,1,0
33,0,0,0,0,1,0
34,1,0,0,0,0,1
35,1,0,1,0,1,0
36,0,1,1,0,1,1
37,0,0,1,1,0,0
38,1,0,1,0,1,0
39,0,0,1,1,0,1
40,0,0,1,0,1,0
41,0,0,0,0,1,0
42,1,1,1,1,1,0
43,0,0,1,0,1,0
44,0,0,1,1,1,0
45,0,0,1,0,1,0
46,0,0,1,0,1,1
47,0,1,0,0,0,0
48,1,0,0,0,1,0
49,0,1,0,0,0,1
50,0,1,0,0,0,1
51,1,1,1,0,0,0
52,0,1,1,0,0,1
53,0,1,0,0,0,1
54,1,1,0,0,0,0
55,1,1,1,0,0,1
56,1,1,1,1,1,0
57,1,0,0,0,0,0
58,1,1,1,0,0,1
59,0,0,1,0,0,1
60,0,1,0,0,0,0
61,0,1,1,0,0,0
62,0,1,0,0,1,1
63,0,1,1,0,0,0
64,0,0,1,1,1,1
65,0,0,1,1,0,1
66,0,1,0,1,1,0
67,0,0,1,0,0,1
68,0,1,0,0,1,1
69,0,0,0,0,1,0
70,0,0,1,0,1,1
71,0,0,1,0,1,1
72,0,0,1,0,1,1
73,0,0,1,0,1,1
74,0,1,1,1,1,1
75,0,0,1,0,1,1
76,0,1,1,0,1,1
77,0,1,1,0,1,1
78,1,0,1,0,0,1
79,1,0,1,0,1,0
80,0,0,0,0,1,1
81,0,0,0,0,0,1
82,0,0,1,0,0,0
83,1,0,0,0,0,0
84,1,0,0,1,1,1
85,1,0,0,1,1,0
86,1,1,0,0,1,0
87,0,1,0,0,0,0
88,0,0,0,0,1,0
89,0,0,0,0,1,0
90,0,1,1,0,1,1
91,0,1,0,0,0,0
92,1,0,1,0,1,0
